identifier,smiles,bus
BOKKUI,NCCN(CCN)CCN,[]
BOKVUU,CN,[2]
BOKWAB,N=C(N)N,[13]
BOLQIE,N#CN=C(N)N,[1]
BOMZOT,CCNCC,[1]
BOMZUZ,CCNCC,[1]
BOPMUR,CNC,[7]
BOPNAY,CNC,[7]
BOPNEC,CNC,[7]
BOPNIG,CNC,[7]
BOPNOM,CNC,[7]
BOPNUS,CNC,[7]
BOPPUU,CNC,[7]
BOQNIE,CNC,[1]
BOQVIN,NCCN,[]
BOQWUC,CN(C)C12CC3CC(C)(CC(C)(C3)C1)C2,[1]
BOTHAU,CN,[6]
BOWRAH,NCCCN,"[12, 1]"
BOWSOW,c1cc(-c2ccncc2)ccn1,[0]
BOWSUC,NCCNCCN,[0]
BOXWAN,NCCN,"[14, 12]"
BOXWER,NCCCN,"[14, 12]"
BOXWIV,NCCCCN,"[14, 12]"
BOXYAQ,CC(N)CN,"[4, 1]"
BOXYEU,CCCN,"[4, 1]"
BOXYIY,CN1CCNCC1,"[4, 1]"
BUAMDW10,CCCCN(CCCC)CCCC,[]
BUBQOE,C1CNCCN1,[0]
BUCREZ,c1ccc2[nH]cnc2c1,[4]
BUCRID,c1ccc2[nH]cnc2c1,[4]
BUDRUP,N=C(N)N,[11]
BUGWUV,N=C(N)N,[6]
BURHIG,C1CNCCN1,[0]
BURHUS,CNC,[0]
BUTHUU,CC(N)CN,[6]
BUWKEL,Nc1ccncc1,[1]
BUWZUP,c1cc(CCCc2ccncc2)ccn1,[]
BUZTIB,CNC,[]
BUZTUN,CNC,[]
CACKOI,NCCN,[6]
CADPED,NCCCN,[0]
CADPIH,NCCCNCCN,[1]
CAFKIG,c1c[nH]cn1,[]
CAGXIS,NCCCN1CCN(CCCN)CC1,[1]
CAGZOA,NCCN,[1]
CAGZUG,NCCN,[1]
CAHBET,NCCCCCCN,[1]
CAHFOH,NCCCCCCCCCCCCN,[1]
CAHMAZ,N=C(N)N,[4]
CAHQOS,NC1CCC1,[1]
CAHSOU,NCCN,[1]
CAHVAJ,C1CNCCN1,[1]
CAHVEN,C1CNCCN1,[1]
CAKSOY,NCCN,[6]
CANCUR,C1CN2CCC1CC2,[5]
CANFUS,Nc1nc(N)nc(N)n1,[]
CANVEV,NCCN1CCNCC1,[1]
CANZIB,NCCN,[1]
CANZOH,NCCCCN,[1]
CANZUN,NCCCCN,[1]
CAPBAX,NC1CCCCC1,[1]
CAPBEB,NCCN,[]
CAPBIF,CC1(C)CC(N)CC(C)(C)N1,[1]
CAPBOL,CC1(C)CC(N)CC(C)(C)N1,[1]
CAPCAA,NCCN,[]
CAPCEC,NCCN,[2]
CAPCIG,NCCN,[2]
CAPTIZ,CCN,[13]
CAPTOF,CCN,[13]
CAPTUL,CCN,[13]
CAPVAT,CCN,"[13, 3]"
CAQJOV,NCCN,[]
CAQWOJ,NCCN,[1]
CASHUA,NCCN,[2]
CASJEM,c1ccncc1,[2]
CASNIU,CN(C)CCN,[]
CASQIY,c1cnc2c(c1)ccc1cccnc12,[1]
CASWIE,NC1CCCCC1,[0]
CAVMIW,CCN,[4]
CAVTUR,Cc1n[nH]c(C)c1Cc1c(C)n[nH]c1C,[1]
CAWTOM,c1ccc2[nH]cnc2c1,[1]
CAXHAK,C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C=C1,[20]
CAXPEX,NCCN,[]
CAYSOL,CCN,[4]
CAZXUY,NCCN,[1]
CAZYAF,NCCCCCCN,[1]
CEDTIR,CCCCCCCCCCCCn1ccnc1,[]
CEHLIN,c1cc(-c2ccncc2)ccn1,[6]
CEHQAJ,NCCCN1CCN(CCCN)CC1,[]
CEHQEN,NC1CCCNC1,[]
CEHQIR,NC1CCCNC1,[]
CEHYOF,NCCN,[1]
CEJLEI,CCN(CC)CC,[]
CEJVET,C1CNCCN1,[2]
CEJVIX,NCCN,[2]
CELFIJ,Cc1ncc[nH]1,[8]
CEMLIP,CNC,[]
CEQBUV,NC1CCCCC1N,[1]
CERLET,C(=Cc1ccncc1)c1ccncc1,[1]
CERVUR,CC1CCNCC1,[1]
CETJIX,C1CNCCN1,[]
CETJUJ,C1CNCCN1,[]
CETSIG,c1cc(N2CCNCC2)ccn1,[4]
CETSOM,c1cc(CCc2ccncc2)ccn1,[4]
CEWJIZ,CCNCC,[]
CEXPED,CNC,[0]
CEXPIH,CNC,[]
CEYZIR,c1cnc2c(c1)ccc1cccnc12,[4]
CHAMMO,NC1CCCCC1,[]
CICZEU,Nc1cccnc1,[2]
CIDJOO,Cc1cccnc1,[]
CIDTAM,CNC,[3]
CIDTEQ,CNC,[3]
CIHKAI,CNC,[8]
CIJGEK,CC(=N)N,[7]
