smiles,encoded_mdes_0,encoded_mdes_1,encoded_mdes_2,encoded_mdes_3,encoded_mdes_4,encoded_mdes_5,encoded_mdes_6,encoded_mdes_7,encoded_mdes_8,encoded_mdes_9,encoded_mdes_10,encoded_mdes_11,encoded_mdes_12,encoded_mdes_13,encoded_mdes_14,encoded_mdes_15,encoded_mdes_16,encoded_mdes_17,encoded_mdes_18,encoded_mdes_19,encoded_mdes_20,encoded_mdes_21,encoded_mdes_22,encoded_mdes_23,encoded_mdes_24,encoded_mdes_25,encoded_mdes_26,encoded_mdes_27,encoded_mdes_28,encoded_mdes_29,encoded_mdes_30,encoded_mdes_31,encoded_mdes_32,encoded_mdes_33,encoded_mdes_34,encoded_mdes_35,encoded_mdes_36,encoded_mdes_37,encoded_mdes_38,encoded_mdes_39,encoded_mdes_40,encoded_mdes_41,encoded_mdes_42,encoded_mdes_43,encoded_mdes_44,encoded_mdes_45,encoded_mdes_46,encoded_mdes_47,encoded_mdes_48,encoded_mdes_49,encoded_mdes_50,encoded_mdes_51,encoded_mdes_52,encoded_mdes_53,encoded_mdes_54
CCCC(C)N,-0.06833581,-0.01619086,0.04789912,-0.10147624,0.042488597,0.096348345,-0.10431779,-0.01687386,0.036684345,0.05024859,0.017405793,0.088846266,0.14509888,-0.0573612,0.06977496,0.10802131,-0.10361753,0.020262495,0.10279736,0.025674956,0.110450655,0.053815506,-0.029708829,-0.06291725,-0.013287215,-0.08902304,0.0054055816,0.037760906,-0.03388313,-0.12408014,0.00067523215,-0.07331511,-0.037700277,0.078423075,0.03703896,-0.09671439,-0.06866055,0.09262928,0.017439686,-0.012898028,0.07778095,0.08524235,0.1008366,0.034743775,-0.035259213,-0.016504526,0.086004905,0.0835498,0.010760155,0.04548938,0.05062195,-0.0728834,-0.04238481,0.0047997013,-0.033203598
CNCCCN,-0.06833613,-0.016190354,0.047898993,-0.10147647,0.042488627,0.09634809,-0.104317605,-0.016873572,0.036684856,0.05024921,0.017405268,0.088846385,0.14509884,-0.057360914,0.0697753,0.108021356,-0.10361777,0.020262051,0.10279729,0.025674673,0.110451356,0.053815596,-0.029707905,-0.06291783,-0.013287209,-0.08902319,0.0054053823,0.037761614,-0.033882894,-0.12407987,0.0006750012,-0.073314644,-0.03770097,0.07842436,0.037039325,-0.096714236,-0.0686603,0.09262959,0.017439269,-0.012897957,0.07778016,0.08524296,0.10083659,0.0347431,-0.035259787,-0.01650439,0.0860049,0.083550066,0.010760406,0.045488738,0.050621916,-0.07288343,-0.042384706,0.0047991164,-0.033203345
CN(CCCN)CCCN,-0.0683359,-0.01619048,0.0478995,-0.10147649,0.04248806,0.09634795,-0.10431821,-0.016873742,0.036684435,0.050248913,0.017405892,0.08884675,0.14509931,-0.057361547,0.06977548,0.10802139,-0.10361779,0.020262308,0.1027969,0.025674863,0.110451534,0.053814985,-0.029708434,-0.062917486,-0.013287269,-0.08902317,0.005405848,0.03776115,-0.033882968,-0.124079764,0.00067531224,-0.0733154,-0.037700057,0.078424,0.03703913,-0.09671444,-0.06865958,0.092629574,0.017438814,-0.01289786,0.07778026,0.08524244,0.10083686,0.03474312,-0.035259772,-0.016504135,0.086004764,0.08355027,0.010760495,0.04548898,0.050621595,-0.07288374,-0.042384617,0.004799461,-0.03320339
Cc1nc2ccccc2[nH]1,-0.06833625,-0.0161894,0.04789918,-0.10147692,0.0424904,0.09634935,-0.10431759,-0.016873132,0.036683843,0.050248075,0.017404828,0.088846,0.14509843,-0.057359762,0.06977525,0.10802296,-0.10361872,0.020261783,0.10279669,0.025675585,0.110452674,0.053816676,-0.029708419,-0.062917486,-0.013287798,-0.08902307,0.005405047,0.03776142,-0.033882238,-0.12408087,0.0006744554,-0.07331516,-0.037700675,0.07842286,0.037039902,-0.096714236,-0.06866166,0.092629164,0.017439373,-0.012898313,0.07777918,0.08524515,0.10083594,0.034742497,-0.035260286,-0.016502995,0.08600472,0.08354974,0.010760447,0.045487806,0.050621178,-0.07288177,-0.04238364,0.004797754,-0.033202574
Nc1cc2nc3ccccc3nc2cc1N,-0.06833639,-0.01618842,0.0478995,-0.10147738,0.042490423,0.09634939,-0.10431809,-0.016873322,0.03668347,0.05024734,0.017405082,0.08884561,0.1450992,-0.057360142,0.06977536,0.108023606,-0.10361825,0.020262469,0.102796726,0.025675872,0.11045246,0.053816777,-0.029708283,-0.06291625,-0.013288371,-0.08902313,0.0054047713,0.03776183,-0.033882644,-0.12408118,0.0006745318,-0.07331535,-0.037700742,0.07842149,0.037039466,-0.09671499,-0.06866213,0.09262854,0.017439872,-0.012897659,0.07777887,0.085245326,0.1008355,0.034742307,-0.03526094,-0.016502088,0.08600423,0.08354983,0.0107610505,0.045488834,0.050621063,-0.072882116,-0.042383686,0.0047982093,-0.033203397
C1CC(C2CCNCC2)CCN1,-0.06833592,-0.016190492,0.04790058,-0.10147632,0.04248859,0.096348695,-0.104318045,-0.01687394,0.036684815,0.0502469,0.01740468,0.088845916,0.145099,-0.05736039,0.06977502,0.108020775,-0.1036181,0.020261701,0.102796115,0.025675809,0.11045181,0.05381553,-0.02970823,-0.062917985,-0.013286475,-0.08902311,0.005405945,0.037760675,-0.03388273,-0.124079816,0.0006745262,-0.07331659,-0.037699047,0.078423455,0.037038982,-0.096714035,-0.06865892,0.092630096,0.01743716,-0.0128982235,0.07777912,0.085242294,0.10083756,0.034742385,-0.03526021,-0.016502831,0.08600435,0.08355054,0.010759862,0.04548795,0.05061962,-0.07288264,-0.042384423,0.0047983294,-0.03320237
Nc1ncnc2[nH]cnc12,-0.06833794,-0.01618823,0.047897823,-0.101478636,0.04248876,0.09634939,-0.104318894,-0.016873788,0.03668438,0.050250612,0.017405104,0.0888454,0.14509965,-0.057360366,0.06977512,0.108023815,-0.103617445,0.020262826,0.10279638,0.025675012,0.11045157,0.053817138,-0.02970687,-0.06291744,-0.013285732,-0.08902326,0.005405725,0.037761383,-0.033882253,-0.12408105,0.0006735744,-0.07331563,-0.037702132,0.078423195,0.03703784,-0.09671392,-0.068661496,0.092631176,0.017438963,-0.012898831,0.07777743,0.085242264,0.10083629,0.034743838,-0.035259742,-0.016503463,0.08600349,0.083550684,0.010761155,0.045487985,0.05062128,-0.07288453,-0.042385012,0.0047976635,-0.033202685
Cc1ccccc1N,-0.06833655,-0.016189173,0.04789856,-0.101477675,0.042489357,0.09634873,-0.10431829,-0.016873103,0.036683563,0.050249025,0.017406045,0.088845596,0.14509852,-0.057360303,0.069774866,0.108023666,-0.10361818,0.02026217,0.10279728,0.025675317,0.11045134,0.053816937,-0.029708687,-0.06291638,-0.013287313,-0.08902311,0.0054048235,0.037760645,-0.033883117,-0.12408088,0.0006748205,-0.07331514,-0.037701644,0.07842128,0.03703896,-0.09671453,-0.068662494,0.09262964,0.017440954,-0.012898814,0.077780075,0.085244216,0.10083607,0.03474314,-0.03525931,-0.016503908,0.08600459,0.08355019,0.010760535,0.0454895,0.050621994,-0.07288328,-0.042384014,0.0047994396,-0.0332035
c1cnccn1,-0.06833605,-0.016189255,0.04789951,-0.10147621,0.04248935,0.09634961,-0.10431764,-0.016874466,0.036684886,0.050249513,0.017404184,0.0888468,0.14510019,-0.05736062,0.06977601,0.10802204,-0.10361807,0.020263538,0.102795735,0.025674498,0.11045292,0.053815097,-0.02970721,-0.062918015,-0.01328733,-0.08902265,0.0054057436,0.0377618,-0.033881303,-0.12407982,0.0006734887,-0.073315,-0.0377001,0.07842558,0.03703935,-0.096714236,-0.068660095,0.09262846,0.017437313,-0.01289794,0.07777846,0.08524379,0.10083523,0.03474363,-0.03526136,-0.016502542,0.086003795,0.08354999,0.010761414,0.04548659,0.050621856,-0.07288245,-0.042384908,0.004795951,-0.03320149
CN(C)C=CCN,-0.06833644,-0.016190708,0.047898397,-0.101477295,0.042488195,0.096348174,-0.104318015,-0.01687298,0.03668454,0.050249882,0.017406061,0.08884598,0.1450991,-0.05736125,0.06977492,0.10802187,-0.103617355,0.020262089,0.10279797,0.025674367,0.11045146,0.05381569,-0.029707756,-0.06291752,-0.013287349,-0.08902311,0.0054055685,0.037761346,-0.0338832,-0.12408036,0.00067509804,-0.07331498,-0.03770086,0.0784236,0.037039384,-0.09671443,-0.06866018,0.09263014,0.017439973,-0.012897726,0.07778009,0.08524169,0.10083711,0.03474374,-0.035259012,-0.016505087,0.08600507,0.083550066,0.010760121,0.04548946,0.050622143,-0.07288466,-0.04238502,0.0048001055,-0.033203997
