,encoded_mdes
381,mdes_GATS1are
382,mdes_GATS2are
383,mdes_GATS3are
384,mdes_GATS1p
385,mdes_GATS2p
386,mdes_GATS3p
387,mdes_GATS1i
388,mdes_GATS2i
389,mdes_GATS3i
390,mdes_BCUTc-1h
391,mdes_BCUTc-1l
392,mdes_BCUTdv-1h
393,mdes_BCUTdv-1l
394,mdes_BCUTd-1h
395,mdes_BCUTd-1l
396,mdes_BCUTs-1h
397,mdes_BCUTs-1l
398,mdes_BCUTZ-1h
399,mdes_BCUTZ-1l
400,mdes_BCUTm-1h
401,mdes_BCUTm-1l
402,mdes_BCUTv-1h
403,mdes_BCUTv-1l
404,mdes_BCUTse-1h
405,mdes_BCUTse-1l
406,mdes_BCUTpe-1h
407,mdes_BCUTpe-1l
408,mdes_BCUTare-1h
409,mdes_BCUTare-1l
410,mdes_BCUTp-1h
411,mdes_BCUTp-1l
412,mdes_BCUTi-1h
413,mdes_BCUTi-1l
414,mdes_BalabanJ
415,mdes_SpAbs_DzZ
416,mdes_SpMax_DzZ
417,mdes_SpDiam_DzZ
418,mdes_SpAD_DzZ
419,mdes_SpMAD_DzZ
420,mdes_LogEE_DzZ
421,mdes_SM1_DzZ
422,mdes_VE1_DzZ
423,mdes_VE2_DzZ
424,mdes_VE3_DzZ
425,mdes_VR1_DzZ
426,mdes_VR2_DzZ
427,mdes_VR3_DzZ
428,mdes_SpAbs_Dzm
429,mdes_SpMax_Dzm
430,mdes_SpDiam_Dzm
431,mdes_SpAD_Dzm
432,mdes_SpMAD_Dzm
433,mdes_LogEE_Dzm
434,mdes_SM1_Dzm
435,mdes_VE1_Dzm
436,mdes_VE2_Dzm
437,mdes_VE3_Dzm
438,mdes_VR1_Dzm
439,mdes_VR2_Dzm
440,mdes_VR3_Dzm
441,mdes_SpAbs_Dzv
442,mdes_SpMax_Dzv
443,mdes_SpDiam_Dzv
444,mdes_SpAD_Dzv
445,mdes_SpMAD_Dzv
446,mdes_LogEE_Dzv
447,mdes_SM1_Dzv
448,mdes_VE1_Dzv
449,mdes_VE2_Dzv
450,mdes_VE3_Dzv
