identifier,comment,SDES_CompositionFormula,SDES_Dimension,SDES_FormalCharge,SDES_LatticeVolume
QESPEM,,Eu8 H16 C32 O72,3.0,-7.0,2563.1788805906003
QESPOW,,Tb8 H16 C32 O72,3.0,-7.0,2560.518399637797
QESRAI,,Zn20 P20 O80,3.0,-20.0,2698.0646993468217
QESREM,,Ga16 P16 O68 F4,2.0,-8.0,2668.6318423393936
QESROW,,In12 P24 O96 F8,2.0,-16.0,2970.5138891585307
QETZOE,,V40 O112,0.0,-24.0,4077.4135495173505
QEVDUT,,Mo48 P4 O160,0.0,-12.0,5065.228202911169
QEYHOS,,Ge18 O44,3.0,-8.0,1320.058642485475
QEZYUR,,Sm6 S14 O58,3.0,-12.0,1804.8107624973284
QEZZAY,,Eu6 S14 O58,3.0,-12.0,1795.051563692633
QEZZEC,,Tb6 S14 O58,3.0,-12.0,1775.1020692790482
QICTIG,,Nd4 H8 S8 O32,2.0,-4.0,825.0389105345357
QIFCAJ,,Ti12 P24 O108,1.0,-48.0,3759.3956986976
QIFPAY,,V4 Te4 O20,2.0,-4.0,765.0628982110021
QIGCUE,,Zn4 H16 C16 O40,0.0,-8.0,1468.2030562998812
QIGDAL,,Zn8 C40 O80,0.0,-24.0,3897.192798463398
QIGDEP,,Zn4 C16 O32,1.0,-8.0,1556.1478184651637
QIGDIT,,Zn16 C48 O96,2.0,-16.0,4789.867820969022
QILBOF,,V10 O28,0.0,-6.0,1752.3013771578615
QISXEW,,Fe10 Mo24 P20 O156,1.0,-4.0,4519.352276436443
QIWCAB,,Fe8 P8 H8 O24 F12,1.0,-8.0,1260.441613084247
QIWZOM,,U6 H6 Se10 O52,2.0,-6.0,2741.335980380333
QIXPAO,,Cr4 O16,0.0,-8.0,5519.276549226373
QOBHOF,,V24 B80 O200,0.0,-24.0,5822.844122567955
QOBPEE,,Be24 P24 H16 O104,3.0,-8.0,2611.2031297117237
QOBPII,,Be12 P16 H16 O64,3.0,-6.0,1627.93641151576
QOBTIL,,Zn4 P4 H4 Cl4 O16,2.0,-4.0,876.9982919567058
QOBVOT,,Al4 P6 C2 O28,2.0,-4.0,887.3580023328664
QOBWEJ,,Zn8 P8 O32,3.0,-8.0,1064.57553103028
QOBWIN,,Zn10 P10 H6 O42,3.0,-8.0,1299.66962247838
QOBZAI,,Al24 P26 O104,3.0,-5.0,2879.7611399214707
QOCBUH,,Be24 P24 H16 O104,3.0,-8.0,2641.4643220363537
QOFKOL,,Zn8 P12 H8 O48,3.0,-8.0,1407.2617118614849
QOFKUR,,Zn4 P8 H8 O32,1.0,-8.0,1244.114116666167
QOFNEG,,U2 As2 O12,2.0,-2.0,465.1979006700519
QOFNUW,,U8 Se12 O64,2.0,-4.0,2145.509277309
QOFPAE,,U20 P16 O112,3.0,-4.0,3040.732458331162
QOFYIT,,Zn8 P10 H16 C4 O44,2.0,-6.0,2096.805031285657
QOGTEM,,Na8 Mn4 Mo36 H16 O136,2.0,-16.0,4188.60567620602
QOGZET,,Ga16 P28 H52 O96,3.0,-8.0,2753.9816271009213
QOGZIX,,Ga16 P24 H48 O88,3.0,-8.0,2220.3843200000006
QOJKAB,,Zn12 C24 O72,3.0,-21.0,3169.54369689413
QOLHUV,,Ce4 H16 N20 O68,0.0,-8.0,2883.284186189654
QONBUS,,Al2 P4 H2 O16,1.0,-4.0,1468.723209083714
QONDUV,,Sb6 W42 O146,1.0,-16.0,4560.3720377888085
QONFAD,,Sb4 W44 O152,0.0,-28.0,4627.112473536843
QOPDEE,,Zn8 Ga8 P16 O64,3.0,-8.0,2061.1758587792483
QOTMAO,,Mo8 O26,1.0,-4.0,957.1163890687765
QOVZUZ,,Pt4 N24 O72,0.0,-8.0,1887.243551789182
QOWWIJ,,Zn8 P8 O32,2.0,-8.0,1066.6100970536995
QOXCEN,,V3 H4 Se6 O21,3.0,-2.0,594.1180298749804
QOXCIR,,V3 H4 Se6 O21,3.0,-2.0,595.5284080512843
QOXCOX,,V2 Se4 O14,2.0,-4.0,602.5424291962955
QOXCUD,,V3 H4 Se6 O21,3.0,-2.0,592.2815051743614
QOXDAK,,V3 H4 Se6 O21,3.0,-2.0,592.7134410808242
QOZBAJ,,Mn2 V2 Mo18 O66,0.0,-10.0,2800.2361338455926
QOZFIU,,Ga12 P16 O80 F8,2.0,-16.0,3393.0070245974257
QOZQAZ,,U16 H24 O84,1.0,-20.0,3394.011123065025
QOZQED,,U8 H24 O48,0.0,-16.0,2282.9683818867693
QUFKOS,,U12 H20 C32 O92,0.0,-20.0,3618.4470101640004
QUJCUT,,Mn3 P4 H4 O12,2.0,-2.0,361.66554888972905
QULMIV,,V40 O112,0.0,-24.0,4267.659885507739
QUMNET,,Co12 P16 H8 O48,2.0,-8.0,2549.7577710152
QUPCUC,,Zn8 Cd4 Mo48 P32 H24 O248,2.0,-25.0,8879.025800087951
QURBOW,,Mn8 C24 O48,2.0,-8.0,2497.0544408010423
QURCAH,,Mn12 P12 O52,2.0,-4.0,1261.9276755940648
QUTFIW,,Cr4 C24 O48,0.0,-12.0,3482.733758500622
QUXPAB,,Ce4 S18 O72,0.0,-20.0,2293.1837026078933
RABQEQ,,Al6 P10 H2 O40,1.0,-10.0,2266.64867817769
RABQIU,,Al8 P12 H4 O48,2.0,-4.0,2158.001977813921
RACMIS,,Cd2 H4 Se4 Cl4 O12,2.0,-4.0,594.6888113191146
RACWUN,,Co8 B16 P24 H8 O104,3.0,0.0,2390.352814417321
RAFMUH,,Zn6 B6 P12 O48,3.0,-3.0,1202.7069847899145
RAGDIN,,Zn1 Se2 O10,1.0,-2.0,389.5130070803974
RAGDUZ,,Zn2 Se4 O24,0.0,-4.0,865.1459919701321
RAHBEI,,Mo12 S4 O52,1.0,-8.0,1662.092389284892
RAHSUR,,Si4 W48 O160,0.0,-24.0,5764.11299331396
RAHTAY,,Mo24 P2 O80,0.0,-10.0,2440.584759782684
RAHTEC,,Mn1 Mo10 P4 H8 O50,0.0,-10.0,2338.081011308865
RANMOK,,Th4 C32 O64,1.0,-14.0,2697.8723590723757
RANMUQ,,U4 C32 O64,1.0,-14.0,2660.2094896923204
RANNAX,,Np4 C32 O64,1.0,-14.0,2643.009056544917
RANNEB,,Pu4 C32 O64,1.0,-14.0,2633.656337132331
RANTOS,,Zn2 Cr2 H12 C12 O24,3.0,-2.0,786.7743150323922
RANZUB,,Fe4 Mo4 C8 O32,2.0,-8.0,1031.6728640151173
RAPBOZ,,Al8 P8 C8 O52,3.0,-8.0,1423.038297888
RAPMOK,,Zn21 P18 O84,3.0,-11.0,2576.5759079734926
RAPMUQ,,In2 P6 H10 O24,2.0,-2.0,683.4504403555732
RAQNED,,Al4 P6 H2 O24,2.0,-4.0,860.1129491176583
RAQVAG,,Fe8 P8 O32,3.0,-8.0,983.3899666500001
RATPOT,,Sb4 Mo24 P2 O80,0.0,-8.0,2314.816534354614
RAWJUU,,Cr6 O20,0.0,-4.0,1193.5626017202835
RAZNIP,,V20 O56,0.0,-12.0,2972.6348882971506
RAZNOV,,V20 H4 O56,0.0,-8.0,2071.4694537300165
REBSOG,,V48 O120,2.0,-12.0,4249.262602200001
REBSUM,,Fe20 P24 O108 F12,2.0,-24.0,4371.171031668849
REFFOX,,Mo14 O44,2.0,-4.0,1205.3667165856923
REGJUI,,Sn32 P24 O96,3.0,-8.0,3078.149448764
REHQUQ,,Sn16 P12 O48,3.0,-4.0,1559.0216219542233
REKCUG,,Zn6 P8 H8 O24,3.0,-4.0,997.1938694008265
REKGUL,,Cu8 H20 S8 O44,1.0,-4.0,1223.5770726148398
REKKOJ,,V4 H4 Se8 O28,1.0,-4.0,920.152391640999
REKKUP,,V8 H8 Se16 O56,3.0,-8.0,1958.0915166155203
REKLAW,,V8 H8 Se16 O56,3.0,-8.0,1917.0464032619998
REKLEA,,V8 H8 Se16 O56,3.0,-8.0,1926.7229131670001
REKLIE,,V8 H8 Se16 O56,3.0,-8.0,1924.8958025459997
RELJAT,,Mn32 H72 C48 Cl56 O72,0.0,-24.0,7787.776806759805
REMXOX,,Cd1 P6 H4 O20,1.0,-4.0,1227.3115356200728
REMYUG,,Cr2 Fe2 H12 C12 O24,3.0,-2.0,806.916876591462
REMZAN,,Cr2 Ni2 H12 C12 O24,3.0,-2.0,781.2614225873167
REYJOX,,Cr20 O68,0.0,-16.0,4159.885033876416
REZJIR,,Mn8 H24 C24 O48,3.0,-8.0,1974.131213336809
REZVEZ,,Ge51 O124,2.0,-22.0,4881.067866249865
REZVID,,Ge126 O306,2.0,-56.0,14793.301031005169
RICNEZ,,Cr4 Mo24 O96,0.0,0.0,4906.329218669728
RIGQOO,,Na2 Co4 Mo28 H40 O116,0.0,-14.0,3871.6561017147505
RIGQUT,,V20 O56,0.0,-12.0,2369.487709350545
RIHTIL,,Al4 P8 O32,1.0,-12.0,1192.7708473800003
RINSEM,,Zn8 P16 H16 O48,3.0,-16.0,2530.0151096004097
RISVEV,,Cu2 C8 O16,0.0,-4.0,898.7704678965441
RIYKEQ,,Al8 B40 O80,3.0,-16.0,3264.2135300448485
ROBHUM,,Al4 B20 O40,3.0,-8.0,1336.003816555584
ROBRIK,,Zn2 P4 H4 O12,1.0,-2.0,632.8240054255136
ROBROQ,,Zn5 P6 H14 O22,2.0,-2.0,944.3882699406345
ROBRUW,,Zn8 P12 H12 O36,3.0,-9.0,1558.947427446707
ROBVIN,,Mo20 P8 O92,0.0,-24.0,5358.117974227767
ROBVOT,,Mo10 P4 O46,0.0,-12.0,1646.2975752792088
ROBVUZ,,Mo40 P16 H8 O184,0.0,-40.0,7329.945307186483
ROBWAG,,Mo10 P4 H4 O46,0.0,-8.0,2209.1678702781314
ROFPAG,,Mo4 O16,0.0,-8.0,789.8216148868415
ROHQAH,,V4 C12 O30,0.0,-6.0,2075.3855875921304
ROKHEE,,Ga4 P8 O36,0.0,-12.0,1598.6996871034698
ROKMOU,,Fe8 H8 S16 O72,1.0,-16.0,2653.720913581207
ROMXAU,,Mo8 O26,0.0,-4.0,1258.4411656276911
RONSUI,,V56 O144 F16,0.0,-32.0,6348.751811030156
RONSUK,,Na2 Fe2 H12 C12 O24,3.0,-4.0,918.0707208860874
RONTAP,,V14 O36 F4,0.0,-8.0,1600.21638767543
RORWON,,K8 Cl24 O96,3.0,-32.0,2918.689244171
RORXEE,,Rb8 Cl24 O96,3.0,-16.0,3018.887741291183
ROSYEG,,V20 H4 O56,0.0,-8.0,2613.4923998300087
RUGJIO,,Sm4 H16 C16 O32,3.0,-4.0,1085.7519740856842
RUGJOU,,Ho4 H16 C16 O32,3.0,-2.0,1036.59647895648
RUGJUA,,Tm4 H16 C16 O32,3.0,-4.0,1020.7587748117502
RUGKAH,,Lu4 H16 C16 O32,3.0,-4.0,1008.982374036
RUKGAI,,Mn4 P12 H24 O24,3.0,-4.0,1077.53617516545
RUNTID,,V38 O98,0.0,-18.0,4347.80339967079
RUNYOO,,Fe4 P8 O32 F4,1.0,0.0,1208.01346194042
RUPWOP,,Mo18 As2 O62,0.0,-6.0,1694.5843246484942
RUVCAO,,Zn12 S16 O48,2.0,-8.0,1434.6100380783366
RUVCES,,Zn8 S16 O48,3.0,-16.0,2458.681784908172
RUWNUT,,V16 P16 H16 O88,2.0,-16.0,3274.7608979888646
RUXYUE,,V24 Mo32 P4 O168,0.0,-36.0,5122.882817277
RUYFAS,,V4 H4 S4 O24,1.0,-4.0,801.5222746543178
RUYFEW,,V4 H4 S8 O36,1.0,-8.0,1081.5470361078048
RUYFIA,,V2 H4 S4 O20,1.0,-4.0,621.0993954717029
RUYFOG,,V8 H8 S16 O72,1.0,-18.0,2654.253402758881
RUYNUV,,Dy2 C8 O26,0.0,-10.0,1763.2726415095292
RUYPAD,,Er4 C16 O48,0.0,-20.0,3629.2263665856194
RUYZUH,,Mn6 Mo24 P16 H4 O128,3.0,-15.0,3363.1980843713836
RUZCOF,,Zn12 P16 H16 O48,3.0,-8.0,2144.347179399361
RUZDAS,,Mn4 P4 H12 C4 O24,3.0,-4.0,818.1396006517559
RUZLOO,,Co4 P8 H8 O24,1.0,-8.0,1281.7907838677338
SABKAK,,Na4 V24 B36 O120,2.0,-8.0,3279.2723733277794
SACTEV,,Cr4 C24 O48,0.0,-12.0,2001.774101372347
SAFZOR,,Na2 Fe2 H12 C12 O24,3.0,-4.0,910.590804172743
SAGZUW,,Fe16 C32 Cl16 O72,3.0,-16.0,3254.5327764950002
SAHBAF,,Fe16 C32 Cl16 O72,3.0,-16.0,3195.4158943759994
SAHBEJ,,Fe16 C32 Cl16 O72,3.0,-16.0,3220.8735399402003
SAJXUX,,V12 O28,2.0,-4.0,1007.3520623013338
SAJYAE,,V6 O14,2.0,-2.0,433.4485461711684
SAJYEI,,V12 O28,2.0,-4.0,1084.4121927315941
SAJYIM,,V12 O28,2.0,-4.0,878.1945977168583
SANHEV,,Sn2 C4 O8 F2,1.0,-2.0,353.8248327508403
SANHIZ,,Sn4 C12 O24,1.0,-4.0,829.9913458405201
SANJUN,,Sc4 H16 S8 O40,1.0,-4.0,1255.893568356865
SANKAU,,Sc6 S18 O72,1.0,-18.0,3082.5475430416095
SANLOK,,Fe4 H12 C12 O24,3.0,-3.0,870.9113027963081
SANLUQ,,Ni4 H12 C12 O24,3.0,-3.0,826.2461291069366
SANMAX,,Cu8 H24 C24 O48,3.0,-8.0,1722.6643040268111
SANMEB,,Zn4 H12 C12 O24,3.0,-3.0,851.4591240766663
SAPJEA,,Zn32 Ga16 P64 H64 O192 F16,3.0,-32.0,9557.785226309581
SAPJIE,,Al16 Zn32 P64 H64 O192 F16,3.0,-32.0,9459.41531777669
SAQPIK,,U2 H4 S4 O22,1.0,-4.0,733.2258169296425
SAQPOQ,,U8 S16 O80,2.0,-16.0,2296.2891906171453
SAQPUW,,U20 H40 S40 O220,2.0,-40.0,6211.877440501327
SASKIH,,V12 P16 H16 O64,3.0,-8.0,1822.300523890658
SAYWOF,,Re2 O8,0.0,-2.0,727.6506428002717
SAZYEA,,V48 B72 H24 O240,0.0,-32.0,7012.677981234087
SEBXAA,,Cr4 H16 C16 O40,0.0,-4.0,1241.4552955659726
SECBIM,,Sc2 H4 S4 O18,1.0,-2.0,581.2285118731662
SECCIN,,U2 H4 C8 O22,0.0,-4.0,848.2144231833041
SECGAJ,,U4 Se8 O36,2.0,-4.0,1419.2618272252023
SEDQUQ,,Al8 P12 H4 O48,2.0,-8.0,2523.281945059212
SEDRAX,,Al8 P12 H4 O48,2.0,-8.0,2527.273155108585
SEGCOX,,Mn2 H8 C4 O12,1.0,0.0,632.9030133068426
SEHVOQ,,V40 B16 P32 O208,3.0,-32.0,5482.660741976
SEHWOR,,Mo72 P6 O240,0.0,-18.0,6220.856002691783
SEHXAE,,Mo72 P6 O240,0.0,-18.0,6744.751754032738
SEHXUY,,Mo72 P6 O240,0.0,-18.0,6701.680806749897
SEMCIX,,Mo6 O20,1.0,-4.0,706.4147087512447
SEMCOD,,Mo32 O104,0.0,-16.0,3242.6933095390687
SEMCUJ,,Mo16 O52,1.0,-6.0,1806.3779363245667
SEMDAQ,,Mo16 O52,0.0,-8.0,1640.9965130741336
SEMGOG,,Mo48 As4 O160,0.0,-12.0,4241.8279566
SEMQEH,,Co1 P4 H8 O16,0.0,-2.0,713.6132875879435
SENHAW,,V20 H4 O56,0.0,-4.0,1965.6562706871691
SENQIM,,Mo16 O52,0.0,-8.0,1641.0484256603474
SETDOL,,Na8 Ni4 Mo24 H56 O112,2.0,-8.0,3671.6328186091655
SETDUR,,Na4 Ni2 Mo12 H12 O48,3.0,-4.0,1435.6298842553426
SETJOQ,,Zr3 P4 O22,2.0,-6.0,627.0017571670418
SEVHEH,,Mn4 B8 P12 H4 O52,3.0,-5.0,1389.1541363210001
SEYQAO,,Zn4 C12 O24,2.0,-4.0,951.0491516094648
SEYQIW,,Zn8 C24 O48,3.0,-10.0,2539.618429332179
SIBFIT,,Si6 Mo72 O240,0.0,-18.0,5882.326709021263
SIBLAQ,,Al8 P12 O48,3.0,-10.0,1504.1893139688577
SIBMUM,,Zn2 P4 H6 O16,1.0,-2.0,870.3765539140484
SICGUJ,,Li2 P6 H8 O22,1.0,-4.0,1346.616306897442
SICKOE,,Al4 P8 H8 O32,1.0,0.0,1347.4896766898396
SIDSIH,,Cr2 Cl2 O6,0.0,-2.0,371.7648591900001
SIDSUU,,Fe12 As16 H8 O64,3.0,-4.0,1571.2964660910666
SIDTAB,,Fe4 As6 O22,2.0,-2.0,551.3978984942772
SIDTEF,,Fe20 As20 H24 O96,2.0,-8.0,2543.737009629298
SIHQEF,,Sn4 C12 O24,2.0,-4.0,1048.2652380405716
SIHQIJ,,Sn4 C12 O24,0.0,-4.0,962.8285517889988
SIHQOP,,Sn2 C8 O16,0.0,-4.0,678.3767044599999
SIKZUH,,Ti2 C6 O20,0.0,-8.0,1119.7002680243645
SILMAC,,Mo24 P2 H4 O80,0.0,-2.0,2614.508088147758
SILXER,,Co1 H8 S2 O12,0.0,-2.0,318.9896882594564
SIMKEH,,Fe2 C12 O24,0.0,-6.0,1627.295923416218
SIMKIL,,Fe4 C24 O48,0.0,-12.0,3485.354302314743
SINJOP,,Fe8 P8 H8 O28 F12,1.0,-8.0,1249.2693892000002
SINQAH,,Zn4 P6 H8 O24,3.0,-2.0,664.343746851639
SINQEL,,Zn4 P8 O32,3.0,-8.0,1319.127280675
SINQIP,,Zn12 P18 O78,1.0,-36.0,4841.891543869453
SINVAM,,Fe8 P8 O34,3.0,-8.0,989.6152016969202
SIPZIA,,Al2 P4 H12 O20,2.0,-2.0,569.214360051539
SIPZOG,,Ga2 P4 H12 O20,2.0,-1.0,581.6843085163341
SIPZUM,,Al4 P8 H24 O40,2.0,-4.0,1065.6595288382744
SIQBAV,,Ga4 P8 H24 O40,2.0,-4.0,1087.0316375785353
SIQDUR,,Zn8 P16 O64,2.0,-8.0,1742.9434601402882
SIQFAZ,,Zn4 P8 O32,1.0,-8.0,1033.698064014
SIQFED,,Zr16 P24 H8 O96 F8,3.0,-8.0,2638.8876650647503
SIQFIH,,Zr8 P12 O48 F4,3.0,-4.0,1315.8566313595313
SIQFUT,,Zr16 P24 H16 O96 F16,2.0,-8.0,2983.819434911091
SIRBIG,,Mg4 H12 C12 O24,3.0,-4.0,853.13541081272
SISPOA,,In4 H16 S8 O40,1.0,-4.0,1015.2466186565381
SISPUG,,In2 H12 S4 O22,0.0,-2.0,655.1689861592598
SIWHUD,,Co6 H36 W36 O138,0.0,0.0,4215.759928444172
SIWKEP,,Re2 O8,0.0,-2.0,491.42804167433593
SIWTUO,,Fe52 P32 W144 O656,0.0,0.0,20505.02559517296
SIYGAJ,,Na6 Zn12 P12 O54,3.0,-6.0,1429.4321735221738
SOBSUY,,Ge4 B16 O36,3.0,-8.0,980.9635417119692
SOCNII,,Mo8 O26,0.0,-4.0,937.7100776244797
SOCWIS,,Fe16 P16 H28 O56 F16,3.0,-8.0,1968.936326775487
SOGRIQ,,In8 P8 H4 O32 F10,2.0,-5.0,1121.5445455540498
SOMROB,,Mo20 P8 O92,0.0,-16.0,3026.7223509104333
SOPXAX,,Co8 Ge4 W36 O140,0.0,-24.0,4950.7937218483075
SOQCAD,,Mo396 C90 O1512,0.0,0.0,68916.4472158324
SOQJIT,,Mg4 Al12 P16 O72,3.0,-4.0,1675.9304271159638
SOQJOZ,,Mg4 Al12 P16 O68,3.0,-4.0,1715.3316045411264
SOQKAM,,Mg4 Al12 P16 O64,3.0,-4.0,1692.2750295239096
SOTBIM,,Be16 P16 H24 O72,3.0,-11.0,1868.9508616735716
SOYDAO,,Nd2 N12 O36,0.0,-6.0,2611.0978480622816
SOYDES,,Er6 N30 O90,0.0,-12.0,5934.735791218769
SOYYEL,,Fe24 P24 O102,3.0,-24.0,2957.4601917076843
SUDGIK,,Na2 V40 H20 O124,0.0,-22.0,5251.893849747276
SUFGEI,,Ga2 C8 O16 F2,1.0,-4.0,733.8591502885935
SUJYOL,,V8 O24,0.0,-8.0,1660.275
SUKMET,,Zn16 H192 C128 O128,0.0,-32.0,7411.987351080002
SULMEU,,Ti4 S8 O36,1.0,-8.0,1305.3112516325966
SUMNUM,,U8 H8 N16 O72,0.0,-8.0,2606.9991691570813
SUMVON,,Mo24 P2 O80,0.0,-10.0,2769.105397917409
SUMVUT,,Mo24 P2 O80,0.0,0.0,3634.4441858064088
SUPCUD,,Zr6 P6 O32 F2,2.0,-4.0,1188.2568755088666
SURBIR,,Te3 W54 O186,0.0,-21.0,6371.675893305801
SUSXIO,,Mn1 Mo10 P4 H8 O50,0.0,-10.0,2340.780161294313
SUVQOS,,Mo36 As4 O124,0.0,-12.0,4263.045483827103
SUWZUH,,Mg4 Al12 P16 H4 O72,3.0,-4.0,1720.639750406441
SUXHAU,,Mn8 P12 H12 O48,2.0,-8.0,1362.2592310417008
SUXSEK,,In4 P8 H12 O36,1.0,-8.0,1162.14610856366
SUXXIS,,Eu6 N36 O108,0.0,-18.0,10765.346227601161
TADDIL,,Mo56 O192,0.0,-48.0,6469.319385509993
TAFPOG,,Al4 P6 H4 C2 O28,3.0,-4.0,787.9084354413443
TAFPUM,,V28 Ge16 O100,0.0,-24.0,4138.971805192501
TAFROI,,Zn1 B12 H12 O26,0.0,-2.0,749.6346336402485
TAHHIU,,La24 Mo88 H96 C64 O376,2.0,0.0,14585.371819486842
TAKDEQ,,Mn4 H16 C8 O24 F8,0.0,-4.0,1080.7590740445612
TAMVUB,,Cu4 C16 O32,1.0,-8.0,2840.735702258937
TANDUJ,,Na2 Mo10 P4 O48,0.0,-8.0,2222.5934384053444
TANFEV,,Co12 Mo16 P16 O112,3.0,-26.0,3144.157554
TANKUQ,,Tb2 S6 O24,1.0,-6.0,746.7807511299399
TANLAX,,Tb20 S48 O192,3.0,-36.0,7035.514742002594
TAWHOO,,Al24 P24 H8 O112,3.0,-8.0,2841.2005094256006
TAWSUI,,Zn12 P16 H12 O48,3.0,-8.0,2199.531395984
TAXJAF,,Zn12 P12 H4 O48,2.0,-8.0,1739.574141240005
TAXREQ,,Ce8 H32 S16 O80,2.0,-8.0,3510.8588037120003
TAYVEX,,Ga8 P16 H8 O64,1.0,-16.0,2716.8911824320003
TAYVIB,,Ga28 P32 H8 O136,3.0,-16.0,3819.7587398858655
TAYVOH,,Ga28 P32 H8 O136,3.0,-16.0,3744.286720005244
TBUAMW,,W8 O32,0.0,-16.0,2917.2525737705587
TEDJES,,Mo10 P4 O46,0.0,-12.0,2163.816656526101
TEJHUN,,Eu2 S6 O24,2.0,-6.0,777.0377175318397
TEJJAV,,Gd2 S6 O24,2.0,-6.0,768.3554153913344
TEJJEZ,,Er4 H8 S12 O52,1.0,-12.0,1669.4124103480683
TENXOB,,Mo16 O52,0.0,-8.0,2218.425984786741
TEPTAL,,Dy8 Cr4 H48 S12 O80,0.0,-4.0,1902.429875394863
TEQCAT,,V4 O12,1.0,-4.0,791.0787800557683
TERQUD,,Zr4 H24 S12 O60,0.0,-8.0,1567.2628046991147
TESQEN,,Ni8 C40 O80,0.0,-24.0,4126.30071826
TESWIY,,Cu1 Se2 O6,1.0,-2.0,240.2497956986371
TESWUK,,Cu2 H4 Se4 Cl4 O12,2.0,-4.0,568.5140258405689
TESXAR,,Co2 H4 Se4 Cl4 O12,2.0,-4.0,571.170424511269
TESXEV,,Cu4 Se6 O18,3.0,-2.0,502.4270782657866
TESXIZ,,Cu8 Se24 O60,3.0,-10.0,1886.2714744986897
TETVAR,,Cr8 Mo48 H48 O192,0.0,-24.0,5743.167380449664
TETVEV,,Mn1 Mo12 P8 O62,0.0,-14.0,1856.7494120691993
TETVIZ,,Co6 Mo24 P16 O128,3.0,-16.0,3312.3849120796617
TETYAS,,Mo8 O26,1.0,0.0,850.1827358761017
TETZEX,,Ga32 P32 O128 F16,3.0,-16.0,4849.8282474092
TEWCOO,,Sc4 S8 O32,2.0,-6.0,827.2198495109195
TEWFAD,,Zn4 P6 H8 O18,2.0,-2.0,649.2444975588718
TEWFEH,,Zn4 P6 H6 O18,2.0,-4.0,1013.3543232375237
TEYCOR,,Pu4 C20 O60,0.0,-24.0,3356.1258980100833
TEYCUX,,Np4 C20 O60,0.0,-24.0,3356.651784114142
TEYDAE,,U4 C20 O60,0.0,-24.0,3382.743398934841
TEYDIM,,Pu4 C20 O60,0.0,-24.0,3248.672146467316
TEYDOS,,Np4 C20 O60,0.0,-24.0,3246.946263979547
TEYDUY,,U4 C20 O60,0.0,-24.0,3260.511171007803
TEYFAG,,Th4 C20 O60,0.0,-24.0,3307.8459602013377
TEYJIR,,Ge72 H16 O168,3.0,-24.0,6171.361669234687
TICDEQ,,Mo24 P2 O80,0.0,-6.0,2391.9866716969977
TIDQIG,,Zr16 P24 H8 O96 F8,3.0,-8.0,2635.3606017759234
TIFZIR,,Zn12 P16 H16 O48,3.0,-8.0,2306.7503088752574
TIGCOC,,Mo16 O52,0.0,-8.0,2058.0585765569926
TIKHIH,,Sm2 H8 N6 O26,0.0,0.0,1503.1162956494627
TIKLOP,,Zr4 C32 O64,0.0,-16.0,3616.261435140497
TIKLUV,,Zr2 C16 O32,0.0,-8.0,1801.8962852898683
TIKMAC,,Zr4 C32 O64,0.0,-16.0,2809.08499272944
TIKMEG,,Zr2 C16 O32,0.0,-8.0,1408.5336696608301
TIKMIK,,Zr4 C32 O64,0.0,-16.0,2757.461508479348
TIKQAI,,Al18 B90 O180,3.0,-36.0,6953.3525370164525
TIKQEM,,Al12 B60 O120,3.0,-24.0,4792.386320351701
TIKQIQ,,Ga4 B20 O40,3.0,-8.0,1394.553694387968
TILPUA,,Al28 P36 H36 O132,3.0,-12.0,5417.64995003597
TIMDAX,,Mn2 Mo24 P16 O124,0.0,-32.0,4336.274135942392
TIPMUB,,U4 Se8 O44,1.0,-8.0,2449.767936535028
TIPNAI,,U8 Se16 O80,2.0,-16.0,4452.474076075664
TIPNEM,,U4 Se8 O44,2.0,-8.0,2858.8436255627516
TIQFIJ,,Ga6 P6 C2 O28,3.0,-3.0,774.1939910601731
TIQPUF,,Fe18 As28 H52 O124 F6,3.0,0.0,4003.7385134517167
TIQXUO,,Cu4 C16 O32,0.0,-8.0,1309.009848100916
TIQYAV,,Cu3 C12 O24,0.0,-6.0,938.1762639219668
TIRYOK,,K2 Na6 Cu6 Sb4 H20 W36 O154,1.0,0.0,4518.98898053536
TIXMET,,Zn20 P24 H16 O80,3.0,-15.0,3881.8328952182683
TIYKUJ,,Cu2 H16 Se4 O24,0.0,-4.0,846.738562486723
TIYLAQ,,Co2 H16 Se4 O24,0.0,-4.0,850.5744291105692
TMACWO,,W16 Cl32 O48,0.0,-8.0,3077.8270400000006
TOBLEC,,Mo24 P2 O80,0.0,-6.0,2416.763380591425
TOBQIN,,Al2 B10 O20,3.0,-4.0,744.0212825697733
TOCZOA,,Al8 P12 H4 O48,2.0,-8.0,2358.0317677143307
TOCZUG,,Al8 P12 H4 O48,2.0,-6.0,2296.7226829541814
TODBET,,Al24 P32 O128,2.0,-24.0,4333.834442349705
TODPAD,,V4 O12,1.0,-4.0,536.8168794167776
TOGKOP,,Co4 P4 W44 O156,1.0,-20.0,6542.570969550001
TOGKUV,,Co4 As4 W44 O156,1.0,-20.0,6675.216096120001
TOHLUA,,Co1 P4 H8 O12,1.0,-2.0,447.3266164466956
TOHTAM,,Ge56 O128 F8,2.0,-24.0,4648.534408546933
TOHTEQ,,Ge32 O72 F4,2.0,-12.0,3746.9071417437094
TOJYOH,,B1 W12 O40,0.0,-6.0,3199.445393779655
TOJYUN,,Si1 W12 O40,0.0,-4.0,2641.186614197225
TONDAC,,U10 P8 O52 F8,2.0,-6.0,2415.5537281536335
TONROF,,Na4 Mo24 P4 H28 C24 O120,0.0,-16.0,4631.9041602
