identifier,comment,SDES_CompositionFormula,SDES_Dimension,SDES_FormalCharge,SDES_LatticeVolume
BIQNUM,,Bi16 S40 O176,3.0,-32.0,5071.258347165556
BIQPAU,,Bi8 S16 N8 O88,2.0,-16.0,2691.0138266292597
BIQREA,,Ga8 P16 H20 C8 O64,2.0,-8.0,2056.9568458124245
BIQRIE,,Ga16 P24 H32 C16 O104,3.0,-8.0,2964.9234891306987
BITREB,,Mo8 O32,0.0,-8.0,1690.1486970880005
BITRIF,,W8 O32,0.0,-8.0,1726.0019602559998
BIVLUQ,,Co16 P24 H24 O96 F4,3.0,-20.0,3139.4261199804996
BIVSOO,,Yb2 N6 O26,0.0,0.0,1510.4271640682227
BIVXUZ,,V12 O28,2.0,-4.0,800.0715436957661
BIVYEK,,V8 O20,2.0,0.0,468.02629345379245
BIWGUJ,,Sn12 P8 H4 O36,3.0,-4.0,1390.0457536779222
BIWHAQ,,Sn24 P16 O72,3.0,-8.0,3128.43293781
BIWWAG,,Ge8 H16 C32 O80,0.0,-16.0,2775.369067869693
BIWWEK,,Ge2 H6 C8 O20,0.0,-4.0,857.9520217316334
BIYFEV,,K4 Mo24 P16 H36 O126,2.0,-11.0,3592.077483563192
BIYFIZ,,Na4 Mo24 P16 H36 O126,2.0,-11.0,3524.5958129387072
BOJBOS,,V20 O56,0.0,-12.0,2327.399423629145
BOKJIV,,Mo8 O26,0.0,-4.0,886.7660298549918
BOKJOB,,Mo16 O52,0.0,-8.0,1658.0939104543484
BOKJUH,,Mo8 O26,1.0,-4.0,851.6496880432617
BOKKAO,,Mo8 O27,1.0,-6.0,935.3559814583784
BOKKES,,Mo16 O52 F4,0.0,-12.0,2292.197560144426
BOKKIW,,Mo16 O52 F4,0.0,-12.0,2366.13765819293
BOKKOC,,Na4 Mo16 H16 O60 F4,1.0,-8.0,2006.520438470471
BOKKUI,,Mo8 O26 F2,0.0,-6.0,1075.925630401153
BOKVUU,,U4 S6 O32,2.0,-4.0,810.1197292161721
BOKWAB,,U4 Se6 O32,2.0,-4.0,981.911257757656
BOLQIE,,P4 W48 O160,0.0,-12.0,4752.396671289224
BOMZOT,,Hf48 P32 W288 O1136,0.0,0.0,40957.43664954
BOMZUZ,,Zr48 P32 W288 O1136,0.0,-144.0,41076.204437463006
BOPMUR,,Fe4 H12 C12 O24,3.0,-2.0,816.8578085583309
BOPNAY,,Fe4 H12 C12 O24,3.0,-2.0,812.0268595306032
BOPNEC,,Fe4 H12 C12 O24,3.0,-2.0,807.2704333854506
BOPNIG,,Fe4 H12 C12 O24,3.0,-2.0,801.8401280015453
BOPNOM,,Fe4 H12 C12 O24,3.0,-2.0,793.0090970277615
BOPNUS,,Fe4 H12 C12 O24,3.0,-2.0,766.4521184416604
BOPPUU,,Fe8 H24 C24 O48,3.0,-3.0,1739.0828097372162
BOQNIE,,Mo48 P4 O160,0.0,-8.0,5106.309393591183
BOQVIN,,Fe12 Ge6 W48 O192,0.0,-10.0,5895.609810383649
BOQWUC,,Al8 P12 H4 O48,2.0,-8.0,3739.4698271360203
BOTHAU,,U4 As12 O56,2.0,-4.0,1383.0668336214537
